date,outlet,dish,quantity,channel
2024-03-21,Uptown,Fried Rice,13,Delivery
2024-03-21,Uptown,Ramen,35,POS
2024-03-21,Uptown,Ramen,12,Delivery
2024-03-21,Uptown,Grilled Chicken Plate,11,POS
2024-03-21,Uptown,Grilled Chicken Plate,4,Delivery
2024-03-21,Uptown,Caesar Wrap,19,POS
2024-03-21,Uptown,Caesar Wrap,6,Delivery
2024-03-21,Uptown,Margherita Pizza,18,POS
2024-03-21,Uptown,Margherita Pizza,6,Delivery
2024-03-21,Uptown,Pad Thai,28,POS
2024-03-21,Uptown,Pad Thai,11,Delivery
2024-03-21,Uptown,Beef Rice Bowl,26,POS
2024-03-21,Uptown,Beef Rice Bowl,9,Delivery
2024-03-21,Uptown,Mushroom Pizza,29,POS
2024-03-21,Uptown,Mushroom Pizza,12,Delivery
2024-03-21,Airport,Chicken Rice Bowl,16,POS
2024-03-21,Airport,Chicken Rice Bowl,7,Delivery
2024-03-21,Airport,Beef Burger,22,POS
2024-03-21,Airport,Beef Burger,8,Delivery
2024-03-21,Airport,Veggie Salad,23,POS
2024-03-21,Airport,Veggie Salad,9,Delivery
2024-03-21,Airport,Spaghetti Bolognese,39,POS
2024-03-21,Airport,Spaghetti Bolognese,14,Delivery
2024-03-21,Airport,Fish Tacos,41,POS
2024-03-21,Airport,Fish Tacos,16,Delivery
2024-03-21,Airport,Fried Rice,43,POS
2024-03-21,Airport,Fried Rice,16,Delivery
2024-03-21,Airport,Ramen,44,POS
2024-03-21,Airport,Ramen,16,Delivery
2024-03-21,Airport,Grilled Chicken Plate,19,POS
2024-03-21,Airport,Grilled Chicken Plate,8,Delivery
2024-03-21,Airport,Caesar Wrap,20,POS
2024-03-21,Airport,Caesar Wrap,8,Delivery
2024-03-21,Airport,Margherita Pizza,24,POS
2024-03-21,Airport,Margherita Pizza,9,Delivery
2024-03-21,Airport,Pad Thai,34,POS
2024-03-21,Airport,Pad Thai,12,Delivery
2024-03-21,Airport,Beef Rice Bowl,44,POS
2024-03-21,Airport,Beef Rice Bowl,15,Delivery
2024-03-21,Airport,Mushroom Pizza,45,POS
2024-03-21,Airport,Mushroom Pizza,17,Delivery
2024-03-22,Downtown,Chicken Rice Bowl,20,POS
2024-03-22,Downtown,Chicken Rice Bowl,9,Delivery
2024-03-22,Downtown,Beef Burger,25,POS
2024-03-22,Downtown,Beef Burger,10,Delivery
2024-03-22,Downtown,Veggie Salad,25,POS
2024-03-22,Downtown,Veggie Salad,10,Delivery
2024-03-22,Downtown,Spaghetti Bolognese,41,POS
2024-03-22,Downtown,Spaghetti Bolognese,16,Delivery
2024-03-22,Downtown,Fish Tacos,45,POS
2024-03-22,Downtown,Fish Tacos,16,Delivery
2024-03-22,Downtown,Fried Rice,52,POS
2024-03-22,Downtown,Fried Rice,19,Delivery
2024-03-22,Downtown,Ramen,52,POS
2024-03-22,Downtown,Ramen,20,Delivery
2024-03-22,Downtown,Grilled Chicken Plate,16,POS
2024-03-22,Downtown,Grilled Chicken Plate,8,Delivery
2024-03-22,Downtown,Caesar Wrap,23,POS
2024-03-22,Downtown,Caesar Wrap,9,Delivery
2024-03-22,Downtown,Margherita Pizza,24,POS
2024-03-22,Downtown,Margherita Pizza,11,Delivery
2024-03-22,Downtown,Pad Thai,41,POS
2024-03-22,Downtown,Pad Thai,14,Delivery
2024-03-22,Downtown,Beef Rice Bowl,42,POS
2024-03-22,Downtown,Beef Rice Bowl,17,Delivery
2024-03-22,Downtown,Mushroom Pizza,48,POS
2024-03-22,Downtown,Mushroom Pizza,16,Delivery
2024-03-22,Marina,Chicken Rice Bowl,15,POS
2024-03-22,Marina,Chicken Rice Bowl,6,Delivery
2024-03-22,Marina,Beef Burger,24,POS
2024-03-22,Marina,Beef Burger,10,Delivery
2024-03-22,Marina,Veggie Salad,29,POS
2024-03-22,Marina,Veggie Salad,13,Delivery
2024-03-22,Marina,Spaghetti Bolognese,34,POS
2024-03-22,Marina,Spaghetti Bolognese,14,Delivery
2024-03-22,Marina,Fish Tacos,35,POS
2024-03-22,Marina,Fish Tacos,15,Delivery
2024-03-22,Marina,Fried Rice,44,POS
2024-03-22,Marina,Fried Rice,21,Delivery
2024-03-22,Marina,Ramen,43,POS
2024-03-22,Marina,Ramen,17,Delivery
2024-03-22,Marina,Grilled Chicken Plate,20,POS
2024-03-22,Marina,Grilled Chicken Plate,8,Delivery
2024-03-22,Marina,Caesar Wrap,30,POS
2024-03-22,Marina,Caesar Wrap,11,Delivery
2024-03-22,Marina,Margherita Pizza,30,POS
2024-03-22,Marina,Margherita Pizza,12,Delivery
2024-03-22,Marina,Pad Thai,39,POS
2024-03-22,Marina,Pad Thai,16,Delivery
2024-03-22,Marina,Beef Rice Bowl,40,POS
2024-03-22,Marina,Beef Rice Bowl,17,Delivery
2024-03-22,Marina,Mushroom Pizza,45,POS
2024-03-22,Marina,Mushroom Pizza,16,Delivery
2024-03-22,Uptown,Chicken Rice Bowl,13,POS
2024-03-22,Uptown,Chicken Rice Bowl,5,Delivery
2024-03-22,Uptown,Beef Burger,17,POS
2024-03-22,Uptown,Beef Burger,7,Delivery
2024-03-22,Uptown,Veggie Salad,27,POS
2024-03-22,Uptown,Veggie Salad,11,Delivery
2024-03-22,Uptown,Spaghetti Bolognese,25,POS
2024-03-22,Uptown,Spaghetti Bolognese,9,Delivery
2024-03-22,Uptown,Fish Tacos,32,POS
2024-03-22,Uptown,Fish Tacos,12,Delivery
2024-03-22,Uptown,Fried Rice,37,POS
2024-03-22,Uptown,Fried Rice,15,Delivery
2024-03-22,Uptown,Ramen,37,POS
2024-03-22,Uptown,Ramen,16,Delivery
2024-03-22,Uptown,Grilled Chicken Plate,14,POS
2024-03-22,Uptown,Grilled Chicken Plate,5,Delivery
2024-03-22,Uptown,Caesar Wrap,19,POS
2024-03-22,Uptown,Caesar Wrap,8,Delivery
2024-03-22,Uptown,Margherita Pizza,20,POS
2024-03-22,Uptown,Margherita Pizza,8,Delivery
2024-03-22,Uptown,Pad Thai,29,POS
2024-03-22,Uptown,Pad Thai,11,Delivery
2024-03-22,Uptown,Beef Rice Bowl,31,POS
2024-03-22,Uptown,Beef Rice Bowl,12,Delivery
2024-03-22,Uptown,Mushroom Pizza,28,POS
2024-03-22,Uptown,Mushroom Pizza,11,Delivery
2024-03-22,Airport,Chicken Rice Bowl,20,POS
2024-03-22,Airport,Chicken Rice Bowl,7,Delivery
2024-03-22,Airport,Beef Burger,27,POS
2024-03-22,Airport,Beef Burger,10,Delivery
2024-03-22,Airport,Veggie Salad,34,POS
2024-03-22,Airport,Veggie Salad,15,Delivery
2024-03-22,Airport,Spaghetti Bolognese,42,POS
2024-03-22,Airport,Spaghetti Bolognese,16,Delivery
2024-03-22,Airport,Fish Tacos,49,POS
2024-03-22,Airport,Fish Tacos,18,Delivery
2024-03-22,Airport,Fried Rice,50,POS
2024-03-22,Airport,Fried Rice,18,Delivery
2024-03-22,Airport,Ramen,66,POS
2024-03-22,Airport,Ramen,27,Delivery
2024-03-22,Airport,Grilled Chicken Plate,23,POS
2024-03-22,Airport,Grilled Chicken Plate,9,Delivery
2024-03-22,Airport,Caesar Wrap,33,POS
2024-03-22,Airport,Caesar Wrap,12,Delivery
2024-03-22,Airport,Margherita Pizza,36,POS
2024-03-22,Airport,Margherita Pizza,15,Delivery
2024-03-22,Airport,Pad Thai,51,POS
2024-03-22,Airport,Pad Thai,16,Delivery
2024-03-22,Airport,Beef Rice Bowl,54,POS
2024-03-22,Airport,Beef Rice Bowl,18,Delivery
2024-03-22,Airport,Mushroom Pizza,66,POS
2024-03-22,Airport,Mushroom Pizza,23,Delivery
2024-03-23,Downtown,Chicken Rice Bowl,19,POS
2024-03-23,Downtown,Chicken Rice Bowl,8,Delivery
2024-03-23,Downtown,Beef Burger,27,POS
2024-03-23,Downtown,Beef Burger,10,Delivery
2024-03-23,Downtown,Veggie Salad,31,POS
2024-03-23,Downtown,Veggie Salad,13,Delivery
2024-03-23,Downtown,Spaghetti Bolognese,41,POS
2024-03-23,Downtown,Spaghetti Bolognese,15,Delivery
2024-03-23,Downtown,Fish Tacos,47,POS
2024-03-23,Downtown,Fish Tacos,18,Delivery
2024-03-23,Downtown,Fried Rice,50,POS
2024-03-23,Downtown,Fried Rice,19,Delivery
2024-03-23,Downtown,Caesar Wrap,24,POS
2024-03-23,Downtown,Caesar Wrap,10,Delivery
2024-03-23,Downtown,Margherita Pizza,26,POS
2024-03-23,Downtown,Margherita Pizza,10,Delivery
2024-03-23,Downtown,Pad Thai,36,POS
2024-03-23,Downtown,Pad Thai,15,Delivery
2024-03-23,Downtown,Beef Rice Bowl,38,POS
2024-03-23,Downtown,Beef Rice Bowl,15,Delivery
2024-03-23,Downtown,Mushroom Pizza,49,POS
2024-03-23,Downtown,Mushroom Pizza,19,Delivery
2024-03-23,Marina,Chicken Rice Bowl,15,POS
2024-03-23,Marina,Chicken Rice Bowl,6,Delivery
2024-03-23,Marina,Beef Burger,24,POS
2024-03-23,Marina,Beef Burger,9,Delivery
2024-03-23,Marina,Veggie Salad,28,POS
2024-03-23,Marina,Veggie Salad,10,Delivery
2024-03-23,Marina,Spaghetti Bolognese,35,POS
2024-03-23,Marina,Spaghetti Bolognese,14,Delivery
2024-03-23,Marina,Fish Tacos,38,POS
2024-03-23,Marina,Fish Tacos,15,Delivery
2024-03-23,Marina,Fried Rice,44,POS
2024-03-23,Marina,Fried Rice,15,Delivery
2024-03-23,Marina,Ramen,41,POS
2024-03-23,Marina,Ramen,17,Delivery
2024-03-23,Marina,Grilled Chicken Plate,17,POS
2024-03-23,Marina,Grilled Chicken Plate,7,Delivery
2024-03-23,Marina,Caesar Wrap,22,POS
2024-03-23,Marina,Caesar Wrap,9,Delivery
2024-03-23,Marina,Margherita Pizza,24,POS
2024-03-23,Marina,Margherita Pizza,10,Delivery
2024-03-23,Marina,Pad Thai,33,POS
2024-03-23,Marina,Pad Thai,14,Delivery
2024-03-23,Marina,Beef Rice Bowl,30,POS
2024-03-23,Marina,Beef Rice Bowl,12,Delivery
2024-03-23,Marina,Mushroom Pizza,34,POS
2024-03-23,Marina,Mushroom Pizza,14,Delivery
2024-03-23,Uptown,Chicken Rice Bowl,17,POS
2024-03-23,Uptown,Chicken Rice Bowl,6,Delivery
2024-03-23,Uptown,Beef Burger,20,POS
2024-03-23,Uptown,Beef Burger,7,Delivery
2024-03-23,Uptown,Veggie Salad,23,POS
2024-03-23,Uptown,Veggie Salad,10,Delivery
2024-03-23,Uptown,Spaghetti Bolognese,30,POS
2024-03-23,Uptown,Spaghetti Bolognese,10,Delivery
2024-03-23,Uptown,Fish Tacos,32,POS
2024-03-23,Uptown,Fish Tacos,14,Delivery
2024-03-23,Uptown,Fried Rice,44,POS
2024-03-23,Uptown,Fried Rice,15,Delivery
2024-03-23,Uptown,Ramen,47,POS
2024-03-23,Uptown,Ramen,17,Delivery
2024-03-23,Uptown,Grilled Chicken Plate,15,POS
2024-03-23,Uptown,Grilled Chicken Plate,6,Delivery
2024-03-23,Uptown,Margherita Pizza,21,POS
2024-03-23,Uptown,Margherita Pizza,9,Delivery
2024-03-23,Uptown,Pad Thai,33,POS
2024-03-23,Uptown,Pad Thai,13,Delivery
2024-03-23,Uptown,Beef Rice Bowl,30,POS
2024-03-23,Uptown,Beef Rice Bowl,13,Delivery
2024-03-23,Airport,Chicken Rice Bowl,19,POS
2024-03-23,Airport,Chicken Rice Bowl,9,Delivery
2024-03-23,Airport,Beef Burger,29,POS
2024-03-23,Airport,Beef Burger,13,Delivery
2024-03-23,Airport,Veggie Salad,35,POS
2024-03-23,Airport,Veggie Salad,16,Delivery
2024-03-23,Airport,Spaghetti Bolognese,39,POS
2024-03-23,Airport,Spaghetti Bolognese,14,Delivery
2024-03-23,Airport,Fish Tacos,51,POS
2024-03-23,Airport,Fish Tacos,18,Delivery
2024-03-23,Airport,Fried Rice,54,POS
2024-03-23,Airport,Fried Rice,18,Delivery
2024-03-23,Airport,Ramen,77,POS
2024-03-23,Airport,Ramen,30,Delivery
2024-03-23,Airport,Grilled Chicken Plate,24,POS
2024-03-23,Airport,Grilled Chicken Plate,9,Delivery
2024-03-23,Airport,Caesar Wrap,26,POS
2024-03-23,Airport,Caesar Wrap,10,Delivery
2024-03-23,Airport,Margherita Pizza,35,POS
2024-03-23,Airport,Margherita Pizza,16,Delivery
2024-03-23,Airport,Pad Thai,45,POS
2024-03-23,Airport,Pad Thai,19,Delivery
2024-03-23,Airport,Beef Rice Bowl,42,POS
2024-03-23,Airport,Beef Rice Bowl,19,Delivery
2024-03-23,Airport,Mushroom Pizza,52,POS
2024-03-23,Airport,Mushroom Pizza,20,Delivery
2024-03-24,Downtown,Chicken Rice Bowl,18,POS
2024-03-24,Downtown,Chicken Rice Bowl,7,Delivery
2024-03-24,Downtown,Beef Burger,27,POS
2024-03-24,Downtown,Beef Burger,10,Delivery
2024-03-24,Downtown,Veggie Salad,33,POS
2024-03-24,Downtown,Veggie Salad,12,Delivery
2024-03-24,Downtown,Spaghetti Bolognese,38,POS
2024-03-24,Downtown,Spaghetti Bolognese,15,Delivery
2024-03-24,Downtown,Fish Tacos,43,POS
2024-03-24,Downtown,Fish Tacos,16,Delivery
2024-03-24,Downtown,Fried Rice,48,POS
2024-03-24,Downtown,Fried Rice,16,Delivery
2024-03-24,Downtown,Ramen,48,POS
2024-03-24,Downtown,Ramen,20,Delivery
2024-03-24,Downtown,Grilled Chicken Plate,22,POS
2024-03-24,Downtown,Grilled Chicken Plate,8,Delivery
2024-03-24,Downtown,Caesar Wrap,30,POS
2024-03-24,Downtown,Caesar Wrap,11,Delivery
2024-03-24,Downtown,Margherita Pizza,28,POS
2024-03-24,Downtown,Margherita Pizza,11,Delivery
2024-03-24,Downtown,Pad Thai,29,POS
2024-03-24,Downtown,Pad Thai,13,Delivery
2024-03-24,Downtown,Beef Rice Bowl,33,POS
2024-03-24,Downtown,Beef Rice Bowl,15,Delivery
2024-03-24,Downtown,Mushroom Pizza,40,POS
2024-03-24,Downtown,Mushroom Pizza,15,Delivery
2024-03-24,Marina,Chicken Rice Bowl,16,POS
2024-03-24,Marina,Chicken Rice Bowl,7,Delivery
2024-03-24,Marina,Beef Burger,23,POS
2024-03-24,Marina,Beef Burger,9,Delivery
2024-03-24,Marina,Veggie Salad,26,POS
2024-03-24,Marina,Veggie Salad,9,Delivery
2024-03-24,Marina,Spaghetti Bolognese,27,POS
2024-03-24,Marina,Spaghetti Bolognese,11,Delivery
2024-03-24,Marina,Fish Tacos,33,POS
2024-03-24,Marina,Fish Tacos,13,Delivery
2024-03-24,Marina,Fried Rice,41,POS
2024-03-24,Marina,Fried Rice,16,Delivery
2024-03-24,Marina,Ramen,42,POS
2024-03-24,Marina,Ramen,18,Delivery
2024-03-24,Marina,Grilled Chicken Plate,15,POS
2024-03-24,Marina,Grilled Chicken Plate,5,Delivery
2024-03-24,Marina,Caesar Wrap,17,POS
2024-03-24,Marina,Caesar Wrap,7,Delivery
2024-03-24,Marina,Margherita Pizza,24,POS
2024-03-24,Marina,Margherita Pizza,9,Delivery
2024-03-24,Marina,Pad Thai,33,POS
2024-03-24,Marina,Pad Thai,11,Delivery
2024-03-24,Marina,Beef Rice Bowl,35,POS
2024-03-24,Marina,Beef Rice Bowl,13,Delivery
2024-03-24,Marina,Mushroom Pizza,43,POS
2024-03-24,Marina,Mushroom Pizza,16,Delivery
2024-03-24,Uptown,Chicken Rice Bowl,14,POS
2024-03-24,Uptown,Chicken Rice Bowl,6,Delivery
2024-03-24,Uptown,Beef Burger,20,POS
2024-03-24,Uptown,Beef Burger,8,Delivery
2024-03-24,Uptown,Veggie Salad,27,POS
2024-03-24,Uptown,Veggie Salad,10,Delivery
2024-03-24,Uptown,Spaghetti Bolognese,23,POS
2024-03-24,Uptown,Spaghetti Bolognese,9,Delivery
2024-03-24,Uptown,Fish Tacos,29,POS
2024-03-24,Uptown,Fish Tacos,10,Delivery
2024-03-24,Uptown,Fried Rice,33,POS
2024-03-24,Uptown,Fried Rice,13,Delivery
2024-03-24,Uptown,Ramen,36,POS
2024-03-24,Uptown,Ramen,16,Delivery
2024-03-24,Uptown,Grilled Chicken Plate,16,POS
2024-03-24,Uptown,Grilled Chicken Plate,6,Delivery
2024-03-24,Uptown,Caesar Wrap,15,POS
2024-03-24,Uptown,Caesar Wrap,6,Delivery
2024-03-24,Uptown,Margherita Pizza,24,POS
2024-03-24,Uptown,Margherita Pizza,9,Delivery
2024-03-24,Uptown,Pad Thai,25,POS
2024-03-24,Uptown,Pad Thai,10,Delivery
2024-03-24,Uptown,Beef Rice Bowl,33,POS
2024-03-24,Uptown,Beef Rice Bowl,11,Delivery
2024-03-24,Uptown,Mushroom Pizza,34,POS
2024-03-24,Uptown,Mushroom Pizza,13,Delivery
2024-03-24,Airport,Chicken Rice Bowl,21,POS
2024-03-24,Airport,Chicken Rice Bowl,7,Delivery
2024-03-24,Airport,Beef Burger,28,POS
2024-03-24,Airport,Beef Burger,10,Delivery
2024-03-24,Airport,Veggie Salad,32,POS
2024-03-24,Airport,Veggie Salad,11,Delivery
2024-03-24,Airport,Spaghetti Bolognese,36,POS
2024-03-24,Airport,Spaghetti Bolognese,13,Delivery
2024-03-24,Airport,Fish Tacos,46,POS
2024-03-24,Airport,Fish Tacos,17,Delivery
2024-03-24,Airport,Fried Rice,45,POS
2024-03-24,Airport,Fried Rice,17,Delivery
2024-03-24,Airport,Ramen,56,POS
2024-03-24,Airport,Ramen,21,Delivery
2024-03-24,Airport,Grilled Chicken Plate,22,POS
2024-03-24,Airport,Grilled Chicken Plate,8,Delivery
2024-03-24,Airport,Caesar Wrap,26,POS
2024-03-24,Airport,Caesar Wrap,9,Delivery
2024-03-24,Airport,Margherita Pizza,29,POS
2024-03-24,Airport,Margherita Pizza,11,Delivery
2024-03-24,Airport,Pad Thai,40,POS
2024-03-24,Airport,Pad Thai,17,Delivery
2024-03-24,Airport,Beef Rice Bowl,52,POS
2024-03-24,Airport,Beef Rice Bowl,18,Delivery
2024-03-25,Downtown,Chicken Rice Bowl,17,POS
2024-03-25,Downtown,Chicken Rice Bowl,7,Delivery
2024-03-25,Downtown,Beef Burger,15,POS
2024-03-25,Downtown,Beef Burger,6,Delivery
2024-03-25,Downtown,Veggie Salad,24,POS
2024-03-25,Downtown,Veggie Salad,9,Delivery
2024-03-25,Downtown,Spaghetti Bolognese,30,POS
2024-03-25,Downtown,Spaghetti Bolognese,11,Delivery
2024-03-25,Downtown,Fish Tacos,35,POS
2024-03-25,Downtown,Fish Tacos,12,Delivery
2024-03-25,Downtown,Fried Rice,33,POS
2024-03-25,Downtown,Fried Rice,12,Delivery
2024-03-25,Downtown,Ramen,41,POS
2024-03-25,Downtown,Ramen,15,Delivery
2024-03-25,Downtown,Grilled Chicken Plate,14,POS
2024-03-25,Downtown,Grilled Chicken Plate,5,Delivery
2024-03-25,Downtown,Caesar Wrap,17,POS
2024-03-25,Downtown,Caesar Wrap,6,Delivery
2024-03-25,Downtown,Margherita Pizza,21,POS
2024-03-25,Downtown,Margherita Pizza,7,Delivery
2024-03-25,Downtown,Pad Thai,25,POS
